E yu mbena ka'. E fúú efa rkwe aèmboè e m laèa naè. Vúè neè yá mbe dïì' ce yi gúèú yi mú noêñ.	He is not here, for he has risen, just like he said. Come, see the place where the Lord was lying.
Bfee Nyúè ce weèr ce laèa na yu ba vi bfee ce vi m ba aè bsúèti, beèe a m rïìñ ka'. Tá Nyúè ka' keè geèe ñgoèñ ca, e m kwaè'shi wáá, a lá ená e be geèe buu ca tá seèe bo túr ñgúè' moè' efa yi foèo.	But we speak God's wisdom in a mystery, the wisdom that has been hidden, which God foreordained before the worlds for our glory,
E beesïì a laa neè woweèe enáê, “Máè suñ weèe wáá, weèe aè ce yu' ka'. Weèe ce koèñ ená m ker suñ weèe njoká? Weâe koèñ aè rba ñgaâa yá'ni yïì buu foñ a?”	"He answered them, ""I told you already, and you didn't listen. Why do you want to hear it again? You don't also want to become his disciples, do you?"""
A m baèptir beèe ce a m byemi yuu ce Pitaè aè m laèa anaè. Beèe ce a m kyeèse nyor aè múè ñgaâa rbyemïì nyúè anaè a m ba aèmboè beèe ncúèkïì taar wa'a.	Then those who gladly received his word were baptized. There were added that day about three thousand souls.
Bkaŋ bwoo bvi ruu a?	Are your pans full?
njobeè' ñwáè ce e ka' ce koèñ aè rboñshi li ryoèñ baná ñgaèñ be bá li, ñwáè ce e ka' tá boñshi li ryoèñ ka', njo' máè, baná ñgaèñ be koni li.	For whoever desires to save his life will lose it, but whoever will lose his life for my sake, the same will save it.
Ŋgʉp yap zhi yû?	Where are their fowls.
Wèr be kapni ntaa mutù anà.	We will beat the price of that car.
Woweèe a ka' vúè yá Jisoès, a bu' mmbo neè ye ená a woweèe a cu. Jisoès aè byemïì, a cu a woweèe aè mnoâñ bbaa.	So when the Samaritans came to him, they begged him to stay with them. He stayed there two days.
Mdip mi ruu njep kaŋ.	The pan is full of water.
Baná weèe riñ ená beèe ce a byemi neè Nyúè a beèe ce a yu boo Abraèhaêm.	Know therefore that those who are of faith, the same are children of Abraham.
E ghoèni weèe aè mnduunjïì jáá jáèá jáá, a gee weèe aè túr bfee bboèñboñ, a ker fa weèe ñger aè rfeè'shi vi blaèa.	that in everything you were enriched in him, in all speech and all knowledge;
Caè'ni neè bfúr wer wááwá neè weèr. Baa woweèe nje nyoèr aè beèe Nyúè.	Greet all the brothers with a holy kiss.
Ŋwɛɛ Ncoʼ Mkuu [ŋwɛ̄ː ntʃɔ́ʔ mkūː] cn 7.	month of June.
Jus a ka' yá ku' beèe ca, a ko'ndoñ, a sár yuu ce Pol aè m laèa, a cáp ye.	But when the Jews saw the multitudes, they were filled with jealousy, and contradicted the things which were spoken by Paul, and blasphemed.
M ka' vú ca'ni weèe baná a nfeè' taar seè'ni aèmboè máè caè'ni weèe. Kuushi neè enáê, “A ka' vú neè mnsa' ená ñwáè aè geèe yuu bebep, baná a be sa' mnsa' anaè ce beèe a mmbaa káè beèe a mntaar áè, a ka' táá njïìnsa' ená ñgaèñ aè geèe faèa anaè ghup.”	"This is the third time I am coming to you. ""At the mouth of two or three witnesses shall every word be established."""
Mɛ̀ fɛ̀r ntàʼtèe.	I have done work.
Ñwáè ce aède' e laa ená beèe ce Nyúè aè ce a yu ñgaâa ñgeèe buu bbebep yu nda? Nyúè a ñwáè ce e geèe seèe aè ba byáánïì.	Who could bring a charge against God's chosen ones? It is God who justifies.
E se fa mɛ̌ mbùu.	He is pursuing me persistently.
Wèr à lèʼte enɛ wèr be dù kaʼ.	We have refused to go.
njobeè' Nyúè ce e túr ñger wááwá aè geèe ku' buu bboèñboñ neè máè. Li rlii li yu rrara.	For he who is mighty has done great things for me. Holy is his name.
Weèe yu seè'ni aèmboè boo bbeer ce a bi wa'a. Baná weèe aè ba koèñ aè rnyoñ mmbee ce aè yú' ce mi yu mrara, tá weèe bo kuè', luèñ.	as newborn babies, long for the pure milk of the Word, that you may grow thereby,
Be ba aè nfeè' anaè tá beèe a yá Muu Ñwáè aèmboè e ce vúè mbe múè mmbaè' embe buèu neè ñger-ñwáè, ker ba neè foèo-ñwáè.	Then they will see the Son of Man coming in clouds with great power and glory.
Jisoès aè m nyoñ mruè' anaè efa kúèsha. E ka' nyoñ wáá, a laa enáê “Yi mïì.” A kár tu, a ma'shi li ryoèñ neè Nyúè.	"When Jesus therefore had received the vinegar, he said, ""It is finished."" He bowed his head, and gave up his spirit."
Ñwáè tañshi tañshïì e ke táá mbekïì ce tañshi njáèá btañshïì ce e m be tañshi nfeè' aèñgoo wáá, aè mnoèñ wááwá. AÈde' njáèá btañshïì ca vi siñsïì buu bbebep ce beèe a geèe ka'.	Every priest indeed stands day by day serving and often offering the same sacrifices, which can never take away sins,
“M ce suñ weèe neè mini-ñwáè máná efa múè beèe wááwá ce bbyeèñge a bi, moè' a be caa Joân ñwáè baèptir beèe ka'. Geewa'a, ñwáè ce e yu yi múcaèr se mbe dïû' kúú Nyúè aè caèa ye.	Most certainly I tell you, among those who are born of women there has not arisen anyone greater than John the Baptizer; yet he who is least in the Kingdom of Heaven is greater than he.
E m laèa neè njeèndoñ ntatap enáê, “Wáp neè Nyúè, ku'si ye, njobeè' nfeè' aè gháá ce e be sa' beèe wááwá. Baná weèe gú'shi neè ye. E m geèe rbuu ba nshe, ba mdip ce mi ce fúú enjep nsheè ba mdip mñgoèrñgoèr.”	"He said with a loud voice, ""Fear the Lord, and give him glory; for the hour of his judgment has come. Worship him who made the heaven, the earth, the sea, and the springs of waters!"""
Rïìñ neè ená mbuèu ce Tata aè kur ntee a ku cu caar a gháá seè'ni yu njobeè' e koèñ ená beèe a luêñ. Pol ce e yu nfúr yïìseèe ce seèe koèñ se naè aè m loèr bfee ce Nyúè aè m fa ye a sañ buu ca aègho mbe ñwaè' ce e m sañ neè weèe naè.	Regard the patience of our Lord as salvation; even as our beloved brother Paul also, according to the wisdom given to him, wrote to you;
Bkaèbaèraè' mo' ce vi m ba ncoèp-kyeèe-aè-mmbaa vi m kaari kaèbaèraè' ca a tarte. Beâe bgoèrgoèr ce a m ba ncoèp-kyeèe-aè-mmbaa a m cute mbe bkaèbaèraè' anaè a yar bcáâ' bbúú. Woweèe a m soèp mtaa kúú ce a m geèe neè guêl.	Around the throne were twenty-four thrones. On the thrones were twenty-four elders sitting, dressed in white garments, with crowns of gold on their heads.
Ŋwɛ̀ yaŋ ca yu yɛɛnì sèʼni.	This sick person is well now.
Weèe fa roèo ba yuu ce weèe be ye, ba yïì ce weèe be no ka'. Fa geèe tá mluè mi ce koo weèe ka'.	Don't seek what you will eat or what you will drink; neither be anxious.
Cañ mcañnïû mboèñmboñ ce aè rbyemïì, so ryoèñ ce nfeseè ce Nyúè aè m ká' wáè ená aè bo koni. Nyúè aè m ká' wáè ená aè bo koni njáèá ryoèñ ca, wáè konïì li nyúè ce wáè m laèa aè múè beèe ená wáè byemi, Nyúè aè yu' rboèñ naè.	Fight the good fight of faith. Lay hold of the eternal life to which you were called, and you confessed the good confession in the sight of many witnesses.
Sò be ce dù kǔumoʼsir.	We will be going together.
Yi yu wa' ka'. M ce suñ weèe ená weèe aè ka' tá kupse, maè' yeè buu bbebep ka', baná weèe wááwá be kweñger wa' foñ.”	"I tell you, no, but, unless you repent, you will all perish in the same way."""
“Ñwáè ryá'nïì, a koo njeñwáè ca a mbañruèñwáè.	"they told him, ""Teacher, we found this woman in adultery, in the very act."
E bipshïì neè beèe anaè enáê, “Yiseèe ncir yi byemi ená seèe gee ba yuu boèñboñ nyúè mmbomntaa Nyúè káè yuu bebep? Yi byemi ená seèe ja' ñwáè jaè' káè seèe yú ñwáè yú?” Woweèe a beesïì yuu neè ye ka'.	"He said to them, ""Is it lawful on the Sabbath day to do good, or to do harm? To save a life, or to kill?"" But they were silent."
doc kùu tɛ à bo dù cɛr.	Go yourself so that you will move faster.
Yi yu aètáèr neè kaèmáêl aè rtose nje rlir nsaèraè' caa neè ñwáè mbaèa aè rniñ mbe dïû' kúú Nyúè.”	"It is easier for a camel to go through a needle's eye than for a rich man to enter into the Kingdom of God."""
Ñwáè ryá'ni mncir ca aè beesïì enáê, “Yu ñwáè ce e m koosimnse neè ye naè.” Jisoès aè laa neè ye enáê, “Duè gee wa' foñ.”	"He said, ""He who showed mercy on him."" Then Jesus said to him, ""Go and do likewise."""
Yu njo' Jisoès ce Nyúè aè túr máè aè ntee boèñboñ, a fa máè fáñ aè rba ñwáè ntuu, tá beâe aè bto' wááwá a bo byemi neè ye, yu'ni neè ye, naèa ye mbekïì.	through whom we received grace and apostleship, for obedience of faith among all the nations, for his name's sake;
Woweèe a duê, a ce feè'shi neè beèe ená a kupse, ma' yaèp buu bbebep.	They went out and preached that people should repent.
Kuè suñ neè máè ba yuu mo'sir. Yú' Rara yi m niñ njep weâe mntee njo' mncir ce weèe aè m ce láè, káè njo' blaâa Nyúè ce weèe aè m yu' a byemi?	I just want to learn this from you. Did you receive the Spirit by the works of the law, or by hearing of faith?
Buu wááwá ce woweèe a ce geèe, a ce geèe ba ená beèe a bo yá woweèe. Woweèe a loè tar bbaèa guru wap ce a ke láè Blaâa Nyúè njo, cúú nje tuè, vi bárñgeèr seê, gee mcúèñcúñ efa wap bcáè' vi sapñgeèr seê.	But all their works they do to be seen by men. They make their phylacteries broad, enlarge the fringes of their garments,
A wɛ̀ yàa wàʼ kaʼ.	You are not my age-mate.
Pailáèt aè ká' beâe bgoèrgoèr efa múè ñgaâa tañshi tañshïì, ba ñgaâa rsa', ker ba beèe ce a m ba aèfo,	Pilate called together the chief priests and the rulers and the people,
Ñwaè' ca ce sañ máâ Jud ce m yu ñwáè rfaè' neè Jisos Kraêis, a ba nfúr Jáêms. M ce sañ ñwaè' ca neè beèe ce Nyúè Taèr aè ce, a koêñ, Jisoès aè ce keè'ni beèe anaè.	Jude, a servant of Jesus Christ, and brother of James, to those who are called, sanctified by God the Father, and kept for Jesus Christ:
Máè m byeè ñgúè buu, AÈpoloès aè ñwañshïì mdip aègho. Ñwáè ce e m geèe ñgúè buu ca aè fúú a ku', aè m ba ba Nyúè.	I planted. Apollos watered. But God gave the increase.
Yuu ce m ce laèa na, aè laèa Tata ená m laa ka'. M ka' ce yu' nyor, m ce laèa ba aèmboè lúr.	That which I speak, I don't speak according to the Lord, but as in foolishness, in this confidence of boasting.
E gwàr ce e njep mbùu.	He has cut the tree from the bottom.
Beâe aè rla' anaè a m geèe ñgeâe boèñboñ neè weèr, a caa embe dïì' ce weèr aè m ce kwaè'shi. Woweèe a m koni weèr, a too mor njobeè' mbeèñ aè m ce gweè, mbáp aè ce fúte.	The natives showed us uncommon kindness; for they kindled a fire, and received us all, because of the present rain, and because of the cold.
